Clinics,Number,Location
Adena Health Urgent Care Hillsboro,(937) 393-7630,California
Adena Health Urgent Care Hillsboro,(937) 393-7630,Oregon
Adrian Urgent Care,(517) 577-6150,Nebraska
Adult Congenital Heart Disease Clinic,(415) 353-2873,San Francisco
Adult Strabismus and Eye Motility Disorders Clinic,(415) 353-2020,San Francisco
Advanced Heart Failure at Fremont,(415) 353-4145,Fremont
Advanced Heart Failure at Walnut Creek,(415) 353-4145,Walnut Creek
Advanced Heart Failure Comprehensive Care Center,(415) 502-4243,San Francisco
AFC Urgent Care Havertown,(484) 812-3287,Wyoming
AFC Urgent Care Narberth,(484) 430-3816,Wyoming
AFC Urgent Care NE Portland,(503) 496-7739,Mississippi
AFC Urgent Care NW Portland,(503) 825-7069,Mississippi
AFC Urgent Care Pennsauken,(856) 369-3513,Wyoming
AFC Urgent Care South Philadelphia,(215) 960-9640,Wyoming
AFC Urgent Care Willow Grove,(267) 690-9224,Wyoming
Airport Philadelphia,(215) 365-7510,Wyoming
Airport Portland,(503) 256-2992,Mississippi
Albuquerque Northpointe,(505) 823-9166,Louisiana
Albuquerque Singer,(505) 345-9599,Louisiana
Algiers Urgent Care,(504) 362-2829,Florida
Allergy and Immunology Clinic,(415) 353-2725,San Francisco
ALS & Neurodegenerative Disease Center,(415) 353-2122,San Francisco
ALS Center at Monterey,(415) 353-2122,Monterey
ALS Center at Santa Rosa,(415) 353-2122,Santa Rosa
"Anal Neoplasia Clinic, Research and Education (ANCRE) Center",(415) 353-7100,San Francisco
Animas Urgent Care,(970) 385-2388,Louisiana
Ankylosing Spondylitis Clinic,(415) 353-2497,San Francisco
Antenatal Testing Center,(415) 353-3400,San Francisco
Anticoagulation Clinic,(415) 353-2143,San Francisco
Arlington Urgent Care,(614) 484-1940,Oregon
Arthritis and Joint Replacement Center,(415) 353-2808,San Francisco
Asian Heart and Vascular Center,(415) 885-3678,San Francisco
Aspen Medical Center Urgent Care,(505) 466-5885,Louisiana
Asthma Clinic,(415) 353-2961,San Francisco
Astrahealth Center Hoboken,(201) 464-8888,Alabama
Astrahealth Center Hoboken,(201) 464-8888,Alaska
Astrahealth Center Hoboken,(201) 464-8888,Arizona
Astrahealth Center Hoboken,(201) 464-8888,Arkansas
Astrahealth Center Hoboken,(201) 464-8888,Colorado
Astrahealth Center Hoboken,(201) 464-8888,Connecticut
Astrahealth Center Hoboken,(201) 464-8888,Delaware
Astrahealth Center Hoboken,(201) 464-8888,Georgia
Astrahealth Center Hoboken,(201) 464-8888,Hawaii
Astrahealth Center Hoboken,(201) 464-8888,Idaho
Astrahealth Center Hoboken,(201) 464-8888,Illinois
Astrahealth Center Hoboken,(201) 464-8888,Indiana
Astrahealth Center Hoboken,(201) 464-8888,Iowa
Astrahealth Center Hoboken,(201) 464-8888,Kansas
Astrahealth Center Hoboken,(201) 464-8888,Kentucky
Astrahealth Center Hoboken,(201) 464-8888,Maine
Astrahealth Center Hoboken,(201) 464-8888,Maryland
Astrahealth Center Hoboken,(201) 464-8888,Massachusetts
Astrahealth Center Hoboken,(201) 464-8888,Michigan
Astrahealth Center Hoboken,(201) 464-8888,Minnesota
Astrahealth Center Hoboken,(201) 464-8888,Missouri
Astrahealth Center Hoboken,(201) 464-8888,Montana
Astrahealth Center Hoboken,(201) 464-8888,Nevada
Astrahealth Center Hoboken,(201) 464-8888,New Hampshire
Astrahealth Center Hoboken,(201) 464-8888,New Jersey
Astrahealth Center Hoboken,(201) 464-8888,New Mexico
Astrahealth Center Hoboken,(201) 464-8888,New York
Astrahealth Center Hoboken,(201) 464-8888,North Carolina
Astrahealth Center Hoboken,(201) 464-8888,North Dakota
Astrahealth Center Hoboken,(201) 464-8888,Ohio
Astrahealth Center Hoboken,(201) 464-8888,Oklahoma
Astrahealth Center Hoboken,(201) 464-8888,Pennsylvania
Astrahealth Center Hoboken,(201) 464-8888,Rhode Island
Astrahealth Center Hoboken,(201) 464-8888,South Carolina
Astrahealth Center Hoboken,(201) 464-8888,South Dakota
Astrahealth Center Hoboken,(201) 464-8888,Tennessee
Astrahealth Center Hoboken,(201) 464-8888,Texas
Astrahealth Center Hoboken,(201) 464-8888,Utah
Astrahealth Center Hoboken,(201) 464-8888,Vermont
Astrahealth Center Hoboken,(201) 464-8888,Virginia
Astrahealth Center Hoboken,(201) 464-8888,Washington
Astrahealth Center Hoboken,(201) 464-8888,West Virginia
Astrahealth Center Hoboken,(201) 464-8888,Wisconsin
AUC Urgent Care Marrero,(504) 301-2825,Florida
Audiology Clinic,(415) 353-2101,San Francisco
Augie Optical Dispensary,(415) 502-2066,San Francisco
Aztec Urgent Care,(505) 334-2664,Louisiana
Balance and Falls Center,(415) 353-2101,San Francisco
Bariatric Surgery Center,"['(415) 353-2804', '(415) 353-2161']",San Francisco
Berkeley Outpatient Center,"['(510) 985-5020', '(510) 985-5200', '(510) 420-8000', '(415) 353-3900', '(510) 420-8000']",Berkeley
Biochemical Genetic Medicine Clinic,(415) 476-2757,San Francisco
Birthmarks & Vascular Anomalies Center,(415) 353-7823,San Francisco
Boardwalk,(859) 254-5520,California
Brachial Neuritis Center,(415) 353-2273,San Francisco
Brain Tumor Center,(415) 353-7500,San Francisco
Breast Cancer Prevention Program,(415) 353-7070,San Francisco
Breast Care Center,(510) 420-8000,Berkeley
Breast Care Plastic Surgery Clinic,(415) 353-7070,San Francisco
Breast Imaging,"['(415) 353-3900', '(415) 502-8900', '(415) 502-8000']",San Francisco
California Center for Pituitary Disorders,"['(415) 353-7500', '(866) 559-5543']",San Francisco
Cancer Center Redwood City,(650) 341-9131,Redwood City
Cancer Center San Mateo,(650) 341-9131,San Mateo
Cancer Clinical Trials & Investigational Treatments Center,(415) 885-7796,San Francisco
