Name,Phone,Email,Location
Adult Congenital Heart Disease Clinic,(415) 353-2873,,San Francisco
Genetics and Preventive Genomics Clinic,(415) 476-2757,,San Francisco
Adult Strabismus and Eye Motility Disorders Clinic,(415) 353-2020,,San Francisco
Advanced Heart Failure at Fremont,(415) 353-4145,,Fremont
Advanced Heart Failure at Walnut Creek,(415) 353-4145,,Walnut Creek
Advanced Heart Failure Comprehensive Care Center,(415) 502-4243,,San Francisco
Allergy and Immunology Clinic,(415) 353-2725,,San Francisco
ALS & Neurodegenerative Disease Center,(415) 353-2122,,San Francisco
ALS Center at Monterey,(415) 353-2122,,Monterey
ALS Center at Santa Rosa,(415) 353-2122,,Santa Rosa
"Anal Neoplasia Clinic, Research and Education (ANCRE) Center",(415) 353-7100,,San Francisco
Ankylosing Spondylitis Clinic,(415) 353-2497,,San Francisco
Antenatal Testing Center,(415) 353-3400,,San Francisco
Anticoagulation Clinic,(415) 353-2143,,San Francisco
Arthritis and Joint Replacement Center,(415) 353-2808,,San Francisco
Asian Heart and Vascular Center,(415) 885-3678,,San Francisco
Asthma Clinic,(415) 353-2961,,San Francisco
Audiology Clinic,(415) 353-2101,,San Francisco
Augie Optical Dispensary,(415) 502-2066,,San Francisco
Balance and Falls Center,(415) 353-2101,,San Francisco
Bariatric Surgery Center,"['(415) 353-2804', '(415) 353-2161']",,San Francisco
Berkeley Outpatient Center,"['(510) 985-5020', '(510) 985-5200', '(510) 420-8000', '(415) 353-3900', '(510) 420-8000']",,Berkeley
Biochemical Genetic Medicine Clinic,(415) 476-2757,,San Francisco
Birthmarks & Vascular Anomalies Center,(415) 353-7823,,San Francisco
Brachial Neuritis Center,(415) 353-2273,,San Francisco
Brain Tumor Center,(415) 353-7500,,San Francisco
Breast Cancer Prevention Program,(415) 353-7070,,San Francisco
Breast Care Center,(510) 420-8000,,Berkeley
Breast Care Plastic Surgery Clinic,(415) 353-7070,,San Francisco
Breast Imaging,"['(415) 353-3900', '(415) 502-8900', '(415) 502-8000']",,San Francisco
Cancer Center Redwood City,(650) 341-9131 ,,Redwood City
Cancer Center San Mateo,(650) 341-9131,,San Mateo
Cancer Clinical Trials & Investigational Treatments Center,(415) 885-7796,,San Francisco
Cancer Genetics and Prevention Program,(415) 885-7779,,San Francisco
Cancer Immunotherapy Clinic,(415) 353-2051,,San Francisco
Cancer Immunotherapy Toxicity Evaluation (CITE) Program,(415) 514-5860,,San Francisco
