Name,Phone,Address,Email,Location
Norwood,(513) 841-1122,"4623 Wesley Ave, Cincinnati, OH 45212",N/A,California
CVG Airport/Mineola Pike,(859) 647-6228,"1825 Airport Exchange Blvd, Erlanger, KY 41018",N/A,California
St. Elizabeth Physicians Urgent Care Florence,(859) 647-2900,"8726 Us 42 Hwy, Florence, KY 41042",N/A,California
Milford,(513) 831-5900,"1068 State Route 28, Milford, OH 45150",N/A,California
Springdale,(513) 815-3852,"10575 Springfield Pike, Cincinnati, OH 45215",N/A,California
Colerain,(513) 815-3851,"8459 Colerain Ave, Cincinnati, OH 45239",N/A,California
Sharonville,(513) 771-2233,"2884 E Kemper Rd, Cincinnati, OH 45241",N/A,California
Rivers Bend Urgent Care,(513) 677-9117,"87 E Route, Maineville, OH 45039",N/A,California
St. Elizabeth Physicians Urgent Care Crittenden,(859) 903-0268,"405 Violet Rd, Crittenden, KY 41030",N/A,California
Monroe Urgent Care,(614) 787-1392,"262 N Main St, Monroe, OH 45050",N/A,California
U.S. Healthworks Medical Group,(937) 746-8795,"333 Conover Dr, Franklin, OH 45005",N/A,California
Premier Health Urgent Care-Springboro,(937) 208-6865,"752 N Main St, Springboro, OH 45066",N/A,California
Premier Health Urgent Care-Centerville,(937) 208-6887,"6071 Far Hills Ave, Centerville, OH 45459",N/A,California
Adena Health Urgent Care Hillsboro,(937) 393-7630,"160 Roberts Ln, Hillsboro, OH 45133",N/A,California
"Maysville, KY",(606) 375-4817,"420 Martin Luther King Hwy, Maysville, KY 41056",N/A,California
U.S. Healthworks Medical Group,(937) 293-7770,"2023 Springboro W, Moraine, OH 45439",N/A,California
Dayton South,(937) 449-0800,"1435 Cincinnati St, Dayton, OH 45417",N/A,California
Xenia,(937) 372-6012,"101 S Orange St, Xenia, OH 45385",N/A,California
Dayton Troy Street,(937) 228-8132,"228 Troy St, Dayton, OH 45404",N/A,California
Premier Health Urgent Care-Beavercreek,(937) 208-8170,"2484 N Fairfield Rd, Beavercreek, OH 45431",N/A,California
Clayton,(937) 836-4000,"7709 Hoke Rd, Englewood, OH 45315",N/A,California
Premier Health Urgent Care-Englewood,(937) 208-6879,"1130 S Main St, Englewood, OH 45322",N/A,California
Huber Heights,(937) 236-8630,"6210 Brandt Pike, Huber Heights, OH 45424",N/A,California
Premier Health Urgent Care-Huber Heights,(937) 208-4100,"8290 Troy Pike, Huber Heights, OH 45424",N/A,California
U.S. Healthworks Medical Group,(937) 237-6231,"8701 Troy Pike, Huber Heights, OH 45424",N/A,California
Dayton Airport,(937) 264-0400,"10871 Engle Rd, Vandalia, OH 45377",N/A,California
First Care Frankfort,(502) 352-2310,"301 Versailles Rd, Frankfort, KY 40601",N/A,California
Springfield South,(937) 322-6222,"1301 W 1st St, Springfield, OH 45504",N/A,California
Boardwalk,(859) 254-5520,"1498 Boardwalk, Lexington, KY 40511",N/A,California
Troy,(937) 335-3100,"1430 W Main St, Troy, OH 45373",N/A,California
Leestown,(859) 245-0692,"1722 Sharkey Way, Lexington, KY 40511",N/A,California
Premier Health Urgent Care-Troy,(937) 208-4120,"1843 W Main St, Troy, OH 45373",N/A,California
Springfield North,(937) 342-9520,"1200 Vester Ave, Springfield, OH 45503",N/A,California
Hamburg,(859) 233-4882,"2424 Sir Barton Way, Lexington, KY 40509",N/A,California
Dove Run,(859) 269-4668,"1055 Dove Run Rd, Lexington, KY 40502",N/A,California
First Care Winchester,(859) 385-4222,"480 Bullion Blvd, Winchester, KY 40391",N/A,California
