Name,Phone,Address,Email,Location
Ochsner Urgent Care French Quarter,(504) 609-3833,"201 Decatur St, New Orleans, LA 70130",N/A,Florida
Downtown New Orleans,(504) 561-1051,"318 Baronne St, New Orleans, LA 70112",N/A,Florida
Ochsner Urgent Care Warehouse District,(504) 552-2433,"900 Magazine St, New Orleans, LA 70130",N/A,Florida
Ochsner Urgent Care Mid-City,(504) 218-4853,"231 N Carrollton Ave, New Orleans, LA 70119",N/A,Florida
Algiers Urgent Care,(504) 362-2829,"3801 General Degaulle Dr, New Orleans, LA 70114",N/A,Florida
LCMC Health Urgent Care Lakeview,(504) 309-7108,"826 Harrison Ave, New Orleans, LA 70124",N/A,Florida
In and Out Urgent Care Uptown,(504) 666-9849,"6225 S Claiborne Ave, New Orleans, LA 70125",N/A,Florida
Ochsner Urgent Care Lakeview,(504) 286-2004,"111 Allen Toussaint Blvd Ste C, New Orleans, LA 70124",N/A,Florida
Doctors After Hours Lakeview,(504) 288-3456,"101 W Robert E Lee Blvd, New Orleans, LA 70124",N/A,Florida
Ochsner Urgent Care Uptown,(504) 891-7676,"4605 Magazine St, New Orleans, LA 70115",N/A,Florida
The Urgent Care Westbank,(504) 393-2273,"148 Wall Blvd, Gretna, LA 70056",N/A,Florida
"Doctors After Hours, LLC",(504) 336-2515,"2515 Manhattan Blvd, Harvey, LA 70058",N/A,Florida
Ochsner Urgent Care & OCC Health West Bank,(504) 309-5015,"1625 Barataria Blvd, Marrero, LA 70072",N/A,Florida
Jefferson,(504) 837-6447,"4015 Jefferson Hwy, Jefferson, LA 70121",N/A,Florida
Ochsner Health Center Lapalco,(504) 371-9355,"4225 Lapalco Blvd, Marrero, LA 70072",N/A,Florida
AUC Urgent Care Marrero,(504) 301-2825,"4945 Lapalco Blvd, Marrero, LA 70072",N/A,Florida
Rapid Urgent Care Metairie,(504) 218-8959,"3908 Veterans Memorial Blvd, Metairie, LA 70002",N/A,Florida
Doctors After Hours Clearview,(504) 455-4433,"1000 Clearview Pkwy, Metairie, LA 70001",N/A,Florida
Ochsner OCC Health Urgent Care Metairie,(504) 779-2667,"3530 Houma Blvd, Metairie, LA 70006",N/A,Florida
Pelican State Outpatient Center,(504) 818-0006,"1525 Dickory Ave, Harahan, LA 70123",N/A,Florida
Ochsner Urgent Care River Ridge,(504) 739-9494,"9605 Jefferson Hwy, River Ridge, LA 70123",N/A,Florida
Ochsner OCC Health Urgent Care Kenner,(504) 467-5748,"2552 Williams Blvd, Kenner, LA 70062",N/A,Florida
Kenner,(504) 468-1506,"1600 Williams Blvd, Kenner, LA 70062",N/A,Florida
Ochsner Urgent Care Kenner,(504) 461-9660,"3417 Williams Blvd, Kenner, LA 70065",N/A,Florida
Rapid Urgent Care Slidell,(985) 326-8283,"2170 Gause Blvd W, Slidell, LA 70460",N/A,Florida
Rapid Urgent Care Mandeville,(985) 674-4464,"1111 N Causeway Blvd, Mandeville, LA 70471",N/A,Florida
Ochsner Urgent Cxare Mandeville,(985) 778-2510,"2735 Highway 190, Mandeville, LA 70471",N/A,Florida
The Urgent Care Laplace,(985) 359-2273,"113 Belle Terre Blvd, La Place, LA 70068",N/A,Florida
Ochsner Urgent Care & OCC Health Covington,(985) 327-6095,"1111 Greengate Dr, Covington, LA 70433",N/A,Florida
Lake Urgent Care North Shore,(985) 888-1117,"70340 Highway 21, Covington, LA 70433",N/A,Florida
In and Out Urgent Care Uptown,(504) 666-9849,"222 N Vermont St, Covington, LA 70433",N/A,Florida
Rapid Urgent Care Covington,(985) 875-0077,"218 E Boston St, Covington, LA 70433",N/A,Florida
Plaquemines Medical Center,(985) 564-3344,"27136 Highway 23, Port Sulphur, LA 70083",N/A,Florida
Total Urgent Care,(985) 632-1820,"314 Highway 3162, Cut Off, LA 70345",N/A,Florida
Lake After Hours Hammond,(985) 375-9979,"42205 Veterans Ave, Hammond, LA 70403",N/A,Florida
Ochsner Urgent Care Thibodaux,(985) 446-5210,"318 N Canal Blvd, Thibodaux, LA 70301",N/A,Florida
