Name,Phone,Address,Email,Location
Albuquerque Northpointe,(505) 823-9166,"5700 Harper Dr NE, Albuquerque, NM 87109",N/A,Louisiana
NextCare Urgent Care: Paseo Del Norte Blvd,(505) 800-7050,"9551 Paseo Del Norte NE, Albuquerque, NM 87122",N/A,Louisiana
Paseo Del Norte,(505) 800-7050,"9551 Paseo Del Norte NE, Albuquerque, NM 87122",N/A,Louisiana
Albuquerque Singer,(505) 345-9599,"3811 Commons Ave NE, Albuquerque, NM 87109",N/A,Louisiana
Duke City Urgent Care Louisiana Plaza,(505) 715-6812,"7200 Montgomery Blvd NE, Albuquerque, NM 87109",N/A,Louisiana
Menaul,(505) 348-2868,"5504 Menaul Blvd NE, Albuquerque, NM 87110",N/A,Louisiana
NextCare Urgent Care: Menaul,(505) 348-2868,"5504 Menaul Blvd NE, Albuquerque, NM 87110",N/A,Louisiana
Duke City Urgent Care Albuquerque,(505) 814-1995,"11601 Montgomery Blvd NE, Albuquerque, NM 87111",N/A,Louisiana
Concentra-Menaul,(505) 842-5151,"3101 Menaul Blvd NE, Albuquerque, NM 87107",N/A,Louisiana
NextCare Urgent Care: Rio Rancho,(505) 395-5520,"1721 Rio Rancho Blvd SE, Rio Rancho, NM 87124",N/A,Louisiana
Rio Rancho,(505) 395-5520,"1721 Rio Rancho Blvd SE, Rio Rancho, NM 87124",N/A,Louisiana
NextCare Urgent Care: Petroglyph,(505) 800-7070,"8201 Golf Course Rd NW, Albuquerque, NM 87120",N/A,Louisiana
Petroglyph,(505) 800-7070,"8201 Golf Course Rd NW, Albuquerque, NM 87120",N/A,Louisiana
ultiMED Urgent Care Rio Rancho,(505) 771-9833,"7555 Enchanted Hills Blvd NE, Rio Rancho, NM 87144",N/A,Louisiana
NextCare Urgent Care Rio Bravo,(505) 545-6138,"200 Rio Bravo Blvd SE, Albuquerque, NM 87105",N/A,Louisiana
Now Open! Rio Bravo,(505) 545-6138,"200 Rio Bravo Blvd SE, Albuquerque, NM 87105",N/A,Louisiana
Duke City Urgent Care Los Lunas,(505) 715-6812,"311 Los Lentes Rd SE, Los Lunas, NM 87031",N/A,Louisiana
CHRISTUS St. Vincent Entrada Contenta Health Center Urgent Care,(505) 913-3233,"5501 Herrera Dr, Santa Fe, NM 87507",N/A,Louisiana
Aspen Medical Center Urgent Care,(505) 466-5885,"3450 Zafarano Dr, Santa Fe, NM 87507",N/A,Louisiana
Santa Fe,(505) 438-9402,"720 Saint Michaels Dr, Santa Fe, NM 87505",N/A,Louisiana
Railyard Urgent Care,(505) 501-7791,"831 S Saint Francis Dr, Santa Fe, NM 87505",N/A,Louisiana
ultiMED Urgent Care Santa Fe,(505) 989-8707,"707 Paseo De Peralta, Santa Fe, NM 87501",N/A,Louisiana
Taos Urgent Care,(575) 758-1414,"330 Paseo Del Pueblo Sur, Taos, NM 87571",N/A,Louisiana
RMCHCS Urgent Care Clinic,(505) 863-2273,"520 NM HIGHWAY 564, Gallup, NM 87301",N/A,Louisiana
ultiMED Urgent Care Red River,(575) 754-1773,"200A Pioneer St, Red River, NM 87558",N/A,Louisiana
Aztec Urgent Care,(505) 334-2664,"604 S Rio Grande Ave, Aztec, NM 87410",N/A,Louisiana
San Juan Regional Medical Urgent Care,(505) 609-2000,"4820 E Main St, Farmington, NM 87402",N/A,Louisiana
Animas Urgent Care,(970) 385-2388,"450 S Camino Del Rio, Durango, CO 81301",N/A,Louisiana
Durango Urgent Care,(970) 247-8382,"2577 Main Ave, Durango, CO 81301",N/A,Louisiana
Silver Health Care-Silver City,(575) 538-2981,"1600 E 32nd St, Silver City, NM 88061",N/A,Louisiana
"Covenant Clinics, LLC",(575) 556-0200,"3961 E Lohman Ave, Las Cruces, NM 88011",N/A,Louisiana
Silver Health Care-Deming,(575) 544-4440,"1511 S Lime St, Deming, NM 88030",N/A,Louisiana
CareNow Urgent Care - Kenworthy,(915) 320-4021,"10765 Kenworthy St, El Paso, TX 79924",N/A,Louisiana
CareNow Urgent Care - Cimarron,(915) 308-2060,"7480 Paseo Del Norte, El Paso, TX 79911",N/A,Louisiana
MedPost Urgent Care Cimarron,(915) 301-9058,"7480 Paseo Del Norte Blvd, El Paso, TX 79912",N/A,Louisiana
Upper Valley Urgent Care Center,(915) 584-8882,"121 E Redd Rd, El Paso, TX 79932",N/A,Louisiana
