Name,Phone,Address,Email,Location
Mississippi,(503) 608-3090,"3872 N Mississippi Ave, Portland, OR 97227",N/A,Mississippi
Urgent Care Interstate by Providence Express Care,(888) 227-3312,"4340 N Interstate Ave, Portland, OR 97217",N/A,Mississippi
GoHealth Urgent Care Williams,(971) 202-2910,"3505 N Williams Ave, Portland, OR 97227",N/A,Mississippi
NE Alberta,(503) 608-3080,"1400 NE Alberta St, Portland, OR 97211",N/A,Mississippi
NE Broadway and 6th Ave,(503) 941-3896,"606 NE Broadway St, Portland, OR 97232",N/A,Mississippi
Swan Island,(503) 283-0013,"3449 N Anchor St, Portland, OR 97217",N/A,Mississippi
GoHealth Urgent Care Pearl District,(971) 232-8620,"1244 NW Marshall St, Portland, OR 97209",N/A,Mississippi
Urgent Care Pearl District by Providence Express Care,(888) 227-3312,"1025 NW 14th Ave, Portland, OR 97209",N/A,Mississippi
NW 23rd,(503) 608-3088,"1662 NW 23rd Ave, Portland, OR 97210",N/A,Mississippi
GoHealth Urgent Care Lombard,(503) 465-4875,"1440 N Lombard St, Portland, OR 97217",N/A,Mississippi
Pearl District-Midnight,(971) 998-1011,"202 NW 13th Ave, Portland, OR 97209",N/A,Mississippi
NE Mlk and Davis St.,(503) 684-8252,"172 NE M L King Blvd, Portland, OR 97232",N/A,Mississippi
Rula Health - Oregon,(323) 676-1233,"111 SW 5th Ave, Portland, OR 97204",N/A,Mississippi
AFC Urgent Care NW Portland,(503) 825-7069,"25 NW 23rd Pl, Portland, OR 97210",N/A,Mississippi
NE Broadway and 33rd Ave,(503) 858-6013,"3218 NE Broadway St, Portland, OR 97232",N/A,Mississippi
Downtown Portland,(503) 608-3082,"900 SW 5th Ave, Portland, OR 97204",N/A,Mississippi
East Burnside,(503) 608-3081,"2400 E Burnside St, Portland, OR 97214",N/A,Mississippi
NE Fremont,(503) 858-6012,"4427 NE Fremont St, Portland, OR 97213",N/A,Mississippi
Urgent Care North Lombard by Providence Express Care,(888) 227-3312,"5300 N Lombard St, Portland, OR 97203",N/A,Mississippi
Hawthorne-Midnight,(971) 998-1014,"3325 SE Hawthorne Blvd, Portland, OR 97214",N/A,Mississippi
Division,(503) 684-8252,"3130 SE Division St, Portland, OR 97202",N/A,Mississippi
AFC Urgent Care NE Portland,(503) 496-7739,"7033 NE Sandy Blvd, Portland, OR 97213",N/A,Mississippi
Sellwood-Moreland,(503) 608-3087,"6910 SE Milwaukie Ave, Portland, OR 97202",N/A,Mississippi
GoHealth Urgent Care Barbur,(971) 202-2099,"7461 SW Barbur Blvd, Portland, OR 97219",N/A,Mississippi
Woodstock,(503) 608-3086,"4415 SE Woodstock Blvd, Portland, OR 97206",N/A,Mississippi
Urgent Care Beaverton Raleigh Hills by Providence Express Care at Walgreens,(888) 227-3312,"7280 SW Beaverton Hillsdale Hwy, Portland, OR 97225",N/A,Mississippi
Cascade Station,(503) 608-3094,"10201 NE Cascades Pkwy, Portland, OR 97220",N/A,Mississippi
GoHealth Urgent Care Raleigh Hills,(971) 808-0665,"4800 SW 76th Ave, Portland, OR 97225",N/A,Mississippi
Multnomah Village,(503) 608-3084,"7855 SW Capitol Hwy, Portland, OR 97219",N/A,Mississippi
GoHealth Urgent Care Sunset,(503) 646-8500,"13305 NW Cornell Rd, Portland, OR 97229",N/A,Mississippi
Airport Portland,(503) 256-2992,"12518 NE Airport Way, Portland, OR 97230",N/A,Mississippi
Cedar Hills,(503) 941-3897,"2695 SW Cedar Hills Blvd, Beaverton, OR 97005",N/A,Mississippi
GoHealth Urgent Care Cedar Hills,(503) 646-9222,"2870 SW Cedar Hills Blvd, Beaverton, OR 97005",N/A,Mississippi
GoHealth Urgent Care Cascade Park,(360) 787-4135,"305 SE Chkalov Dr, Vancouver, WA 98683",N/A,Mississippi
Urgent Care Bethany by Providence Express Care at Walgreens,(888) 227-3312,"4816 NW Bethany Blvd, Portland, OR 97229",N/A,Mississippi
GoHealth Urgent Care Johnson Creek,(971) 202-2090,"9361 SE 82nd Ave, Happy Valley, OR 97086",N/A,Mississippi
