Name,Phone,Address,Email,Location
Physicians Immediate Care Fort Wayne,(260) 498-8077,"920 E Coliseum Blvd, Fort Wayne, IN 46805",N/A,Nebraska
Physicians Immediate Care Warsaw,(574) 306-4128,"2680 Escalade Way, Warsaw, IN 46582",N/A,Nebraska
ProMedica Express Care Defiance,(419) 783-6955,"1200 Ralston Ave, Defiance, OH 43512",N/A,Nebraska
MedExpress Urgent Care Marion,(765) 662-1188,"1130 N Baldwin Ave, Marion, IN 46952",N/A,Nebraska
U.S. Healthworks Medical Group,(574) 537-1709,"2014 Lincolnway E, Goshen, IN 46526",N/A,Nebraska
Goshen Physicians Family Medicine & Urgent Care,(574) 535-1700,"2824 Elkhart Rd, Goshen, IN 46526",N/A,Nebraska
Physicians Immediate Care Elkhart,(574) 747-8004,"900 Johnson St, Elkhart, IN 46514",N/A,Nebraska
U.S. Healthworks Medical Group,(574) 206-8010,"700 E Beardsley Ave, Elkhart, IN 46514",N/A,Nebraska
MedExpress Urgent Care Muncie,(765) 287-8460,"1313 W McGalliard Rd, Muncie, IN 47303",N/A,Nebraska
U.S. Healthworks Medical Group,(765) 288-8800,"4125 W CLARA LN, Muncie, IN 47304",N/A,Nebraska
MedExpress Urgent Care Kokomo,(765) 457-4370,"1010 S Reed Rd, Kokomo, IN 46901",N/A,Nebraska
U.S. Healthworks Medical Group,(765) 751-3300,"3813 S Madison St, Muncie, IN 47302",N/A,Nebraska
MedPoint Ireland Road,(574) 647-1750,"1815 E Ireland Rd, South Bend, IN 46614",N/A,Nebraska
Physicians Immediate Care South Bend,(574) 312-7022,"1245 E Ireland Rd, South Bend, IN 46614",N/A,Nebraska
Physicians Immediate Care Mishawaka,(574) 235-3135,"505 W Cleveland Rd, Mishawaka, IN 46545",N/A,Nebraska
U.S. Healthworks Medical Group,(574) 277-7600,"19567 Cleveland Rd, South Bend, IN 46637",N/A,Nebraska
MedExpress Urgent Care Anderson,(765) 642-2602,"3800 S Scatterfield Rd, Anderson, IN 46013",N/A,Nebraska
Sidney,(937) 492-1961,"1540 Michigan St, Sidney, OH 45365",N/A,Nebraska
Portage,(269) 323-2450,"245 W Centre Ave, Portage, MI 49024",N/A,Nebraska
Premier Health Urgent Care-Piqua,(937) 440-7683,"280 Looney Rd, Piqua, OH 45356",N/A,Nebraska
MedExpress Urgent Care Portage,(269) 329-0202,"6929 S Westnedge Ave, Portage, MI 49002",N/A,Nebraska
Adrian Urgent Care,(517) 577-6150,"715 N Main St, Adrian, MI 49221",N/A,Nebraska
Portage North,(269) 216-7169,"5142 S Westnedge Ave, Portage, MI 49002",N/A,Nebraska
U.S. Healthworks Medical Group,(419) 865-4448,"7010 Spring Meadows West Dr, Holland, OH 43528",N/A,Nebraska
ProMedica Urgent Care Holland,(567) 585-0070,"6711 Airport Hwy, Holland, OH 43528",N/A,Nebraska
MedExpress Urgent Care Battle Creek,(269) 964-4751,"25 Columbia Ave E, Battle Creek, MI 49015",N/A,Nebraska
ProMedica Urgent Care Perrysburg,(567) 585-0010,"25950 Dixie Hwy, Perrysburg, OH 43551",N/A,Nebraska
ProMedica After Hours Perrysburg,(419) 291-0130,"1601 Brigham Dr, Perrysburg, OH 43551",N/A,Nebraska
ProMedica Urgent Care Maumee,(567) 585-0210,"217 Golden Gate Plz, Maumee, OH 43537",N/A,Nebraska
Premier Health Urgent Care-Troy,(937) 208-4120,"1843 W Main St, Troy, OH 45373",N/A,Nebraska
ProMedica Urgent Care Toledo,(567) 585-0075,"6755 W Central Ave, Toledo, OH 43617",N/A,Nebraska
Troy,(937) 335-3100,"1430 W Main St, Troy, OH 45373",N/A,Nebraska
Kalamazoo,(269) 903-2835,"1634 Gull Rd, Kalamazoo, MI 49048",N/A,Nebraska
IU Health Urgent Care Hazel Dell,(317) 922-2090,"14645 Hazel Dell Xing, Noblesville, IN 46062",N/A,Nebraska
ProMedica Urgent Care Sylvania,(567) 585-0005,"5700 Monroe St, Sylvania, OH 43560",N/A,Nebraska
U.S. Healthworks Medical Group,(317) 845-5425,"11580 Overlook Dr, Fishers, IN 46037",N/A,Nebraska
