Name,Phone,Address,Email,Location
Dayton Troy Street,(937) 228-8132,"228 Troy St, Dayton, OH 45404",N/A,Oregon
Dayton South,(937) 449-0800,"1435 Cincinnati St, Dayton, OH 45417",N/A,Oregon
U.S. Healthworks Medical Group,(937) 293-7770,"2023 Springboro W, Moraine, OH 45439",N/A,Oregon
Premier Health Urgent Care-Beavercreek,(937) 208-8170,"2484 N Fairfield Rd, Beavercreek, OH 45431",N/A,Oregon
Huber Heights,(937) 236-8630,"6210 Brandt Pike, Huber Heights, OH 45424",N/A,Oregon
Premier Health Urgent Care-Centerville,(937) 208-6887,"6071 Far Hills Ave, Centerville, OH 45459",N/A,Oregon
Premier Health Urgent Care-Huber Heights,(937) 208-4100,"8290 Troy Pike, Huber Heights, OH 45424",N/A,Oregon
U.S. Healthworks Medical Group,(937) 237-6231,"8701 Troy Pike, Huber Heights, OH 45424",N/A,Oregon
Premier Health Urgent Care-Englewood,(937) 208-6879,"1130 S Main St, Englewood, OH 45322",N/A,Oregon
Dayton Airport,(937) 264-0400,"10871 Engle Rd, Vandalia, OH 45377",N/A,Oregon
Clayton,(937) 836-4000,"7709 Hoke Rd, Englewood, OH 45315",N/A,Oregon
Premier Health Urgent Care-Springboro,(937) 208-6865,"752 N Main St, Springboro, OH 45066",N/A,Oregon
Xenia,(937) 372-6012,"101 S Orange St, Xenia, OH 45385",N/A,Oregon
U.S. Healthworks Medical Group,(937) 746-8795,"333 Conover Dr, Franklin, OH 45005",N/A,Oregon
Troy,(937) 335-3100,"1430 W Main St, Troy, OH 45373",N/A,Oregon
Premier Health Urgent Care-Troy,(937) 208-4120,"1843 W Main St, Troy, OH 45373",N/A,Oregon
Springfield South,(937) 322-6222,"1301 W 1st St, Springfield, OH 45504",N/A,Oregon
Monroe Urgent Care,(614) 787-1392,"262 N Main St, Monroe, OH 45050",N/A,Oregon
Springfield North,(937) 342-9520,"1200 Vester Ave, Springfield, OH 45503",N/A,Oregon
Premier Health Urgent Care-Piqua,(937) 440-7683,"280 Looney Rd, Piqua, OH 45356",N/A,Oregon
Rivers Bend Urgent Care,(513) 677-9117,"87 E Route, Maineville, OH 45039",N/A,Oregon
Sharonville,(513) 771-2233,"2884 E Kemper Rd, Cincinnati, OH 45241",N/A,Oregon
Sidney,(937) 492-1961,"1540 Michigan St, Sidney, OH 45365",N/A,Oregon
Springdale,(513) 815-3852,"10575 Springfield Pike, Cincinnati, OH 45215",N/A,Oregon
Milford,(513) 831-5900,"1068 State Route 28, Milford, OH 45150",N/A,Oregon
Colerain,(513) 815-3851,"8459 Colerain Ave, Cincinnati, OH 45239",N/A,Oregon
Norwood,(513) 841-1122,"4623 Wesley Ave, Cincinnati, OH 45212",N/A,Oregon
Adena Health Urgent Care Hillsboro,(937) 393-7630,"160 Roberts Ln, Hillsboro, OH 45133",N/A,Oregon
CVG Airport/Mineola Pike,(859) 647-6228,"1825 Airport Exchange Blvd, Erlanger, KY 41018",N/A,Oregon
Hilliard,(614) 921-0648,"5677 Scioto Darby Rd, Hilliard, OH 43026",N/A,Oregon
U.S. Healthworks Medical Group,(614) 850-1476,"4821 Roberts Rd, Columbus, OH 43228",N/A,Oregon
Clime Road,(614) 272-1100,"4300 Clime Rd, Columbus, OH 43228",N/A,Oregon
St. Elizabeth Physicians Urgent Care Florence,(859) 647-2900,"8726 Us 42 Hwy, Florence, KY 41042",N/A,Oregon
Arlington Urgent Care,(614) 484-1940,"3062 Kingsdale Ctr, Columbus, OH 43221",N/A,Oregon
Worthington Urgent Care,(614) 516-0184,"2245 W Dublin Granville Rd, Worthington, OH 43085",N/A,Oregon
Clintonville,(614) 263-4400,"4400 N High St, Columbus, OH 43214",N/A,Oregon
