Name,Phone,Address,Email,Location
RMM Medical Corp,(917) 302-3801,"2656 N 16th St, Philadelphia, PA 19132",N/A,Wyoming
Temple Readycare Port Richmond,(215) 926-3535,"2301 E Allegheny Ave, Philadelphia, PA 19134",N/A,Wyoming
Vybe Urgent Care Port Richmond/Fishtown,(215) 999-3356,"3356 Aramingo Ave, Philadelphia, PA 19134",N/A,Wyoming
Vybe Urgent Care Roxborough,(215) 999-6060,"6060 Ridge Ave, Philadelphia, PA 19128",N/A,Wyoming
Philadelphia Northeast,(215) 537-4755,"2010 Levick St, Philadelphia, PA 19149",N/A,Wyoming
Premier Urgent Care Wynnefield,(215) 883-0800,"2231 Bryn Mawr Ave, Philadelphia, PA 19131",N/A,Wyoming
Rula Health - Pennsylvania,(323) 676-1233,"1500 Market St, Philadelphia, PA 19102",N/A,Wyoming
Vybe Urgent Care Center City,(215) 999-1420,"1420 Chestnut St, Philadelphia, PA 19102",N/A,Wyoming
Jefferson Urgent Care Rittenhouse,(267) 443-2020,"2021 Chestnut St, Philadelphia, PA 19103",N/A,Wyoming
Jefferson at Washington Square,(215) 503-7300,"700 Walnut St, Philadelphia, PA 19106",N/A,Wyoming
Jefferson at Smylie Times,(215) 333-0304,"2607 Rhawn St, Philadelphia, PA 19152",N/A,Wyoming
Patient First Abington,(267) 620-0237,"938 Old York Rd, Abington, PA 19001",N/A,Wyoming
Vybe Urgent Care South Philadelphia,(215) 999-1217,"1217 S Broad St, Philadelphia, PA 19147",N/A,Wyoming
AFC Urgent Care Narberth,(484) 430-3816,"934 Montgomery Ave, Penn Valley, PA 19072",N/A,Wyoming
AFC Urgent Care South Philadelphia,(215) 960-9640,"1444 W Passyunk Ave, Philadelphia, PA 19145",N/A,Wyoming
AFC Urgent Care Pennsauken,(856) 369-3513,"6630 S Crescent Blvd, Pennsauken, NJ 08109",N/A,Wyoming
Jefferson Urgent Care Flourtown,(215) 836-1354,"1820 Bethlehem Pike, Flourtown, PA 19031",N/A,Wyoming
Main Line Health Urgent Care Wynnewood,(484) 565-1293,"306 E Lancaster Ave, Wynnewood, PA 19096",N/A,Wyoming
Cooper University Urgent Care Cinnaminson,(856) 874-0134,"175 Route 130 S, Cinnaminson, NJ 08077",N/A,Wyoming
MedExpress Urgent Care Cinnaminson,(856) 829-0407,"1210 Route 130 N, Cinnaminson, NJ 08077",N/A,Wyoming
AFC Urgent Care Willow Grove,(267) 690-9224,"2848 W Moreland Rd, Willow Grove, PA 19090",N/A,Wyoming
Cherry Hill,(856) 663-7690,"800 Haddonfield Rd, Cherry Hill, NJ 08002",N/A,Wyoming
Virtua Express Care Westmont,(856) 946-5180,"602 W Cuthbert Blvd, Haddon Township, NJ 08108",N/A,Wyoming
MedExpress Urgent Care Cherry Hill,(856) 779-0783,"2322 Route 38, Cherry Hill, NJ 08002",N/A,Wyoming
Cooper University Health Care Urgent Care Cherry Hill,(856) 874-0134,"2001 Marlton Pike E , Cherry Hill, NJ 08002",N/A,Wyoming
Patient First Cherry Hill,(856) 406-0023,"2171 Marlton Pike, Cherry Hill, NJ 08002",N/A,Wyoming
Inspira Urgent Care Haddon Township,(856) 559-4300,"400 W Cuthbert Blvd, Haddon Township, NJ 08108",N/A,Wyoming
Airport Philadelphia,(215) 365-7510,"7000 Holstein Ave, Philadelphia, PA 19153",N/A,Wyoming
AFC Urgent Care Havertown,(484) 812-3287,"115 W Eagle Rd, Havertown, PA 19083",N/A,Wyoming
Premier Urgent Care-Plymouth Meeting,(484) 539-1200,"580 W Germantown Pike, Plymouth Meeting, PA 19462",N/A,Wyoming
Cooper University Health Care Urgent Care Audobon,(856) 874-0134,"318 S White Horse Pike, Audubon, NJ 08106",N/A,Wyoming
Far Northeast Philadelphia,(215) 677-0930,"2804 Southampton Rd, Philadelphia, PA 19154",N/A,Wyoming
MedExpress Urgent Care Mount Ephraim,(856) 931-3107,"2 S Black Horse Pike, Mount Ephraim, NJ 08059",N/A,Wyoming
Premier Urgent Care Cherry Hill,(856) 433-6200,"1601 Kings Hwy N, Cherry Hill, NJ 08034",N/A,Wyoming
Plymouth Meeting,(610) 275-3884,"850 Germantown Pike, Plymouth Meeting, PA 19462",N/A,Wyoming
CK Urgent Care at Broomall,(484) 446-3588,"30 Lawrence Rd, Broomall, PA 19008",N/A,Wyoming
